Month,heater
2004-01,27
2004-02,18
2004-03,14
2004-04,13
2004-05,13
2004-06,13
2004-07,13
2004-08,14
2004-09,15
2004-10,20
2004-11,24
2004-12,29
2005-01,27
2005-02,17
2005-03,15
2005-04,14
2005-05,13
2005-06,13
2005-07,12
2005-08,13
2005-09,16
2005-10,25
2005-11,25
2005-12,31
2006-01,21
2006-02,20
2006-03,16
2006-04,14
2006-05,13
2006-06,13
2006-07,13
2006-08,13
2006-09,16
2006-10,22
2006-11,23
2006-12,25
2007-01,25
2007-02,23
2007-03,16
2007-04,14
2007-05,13
2007-06,13
2007-07,12
2007-08,12
2007-09,15
2007-10,20
2007-11,26
2007-12,29
2008-01,26
2008-02,20
2008-03,16
2008-04,15
2008-05,14
2008-06,14
2008-07,14
2008-08,14
2008-09,17
2008-10,26
2008-11,28
2008-12,31
2009-01,29
2009-02,21
2009-03,17
2009-04,15
2009-05,14
2009-06,14
2009-07,13
2009-08,13
2009-09,16
2009-10,24
2009-11,23
2009-12,33
2010-01,30
2010-02,22
2010-03,17
2010-04,15
2010-05,14
2010-06,12
2010-07,11
2010-08,12
2010-09,14
2010-10,21
2010-11,27
2010-12,32
2011-01,31
2011-02,24
2011-03,18
2011-04,15
2011-05,14
2011-06,14
2011-07,13
2011-08,14
2011-09,17
2011-10,25
2011-11,31
2011-12,32
2012-01,28
2012-02,21
2012-03,17
2012-04,15
2012-05,14
2012-06,13
2012-07,13
2012-08,13
2012-09,16
2012-10,25
2012-11,32
2012-12,29
2013-01,30
2013-02,23
2013-03,20
2013-04,16
2013-05,15
2013-06,14
2013-07,14
2013-08,14
2013-09,17
2013-10,27
2013-11,36
2013-12,39
2014-01,39
2014-02,28
2014-03,21
2014-04,17
2014-05,16
2014-06,15
2014-07,15
2014-08,16
2014-09,19
2014-10,26
2014-11,45
2014-12,32
2015-01,36
2015-02,32
2015-03,21
2015-04,17
2015-05,17
2015-06,17
2015-07,16
2015-08,17
2015-09,19
2015-10,29
2015-11,37
2015-12,35
2016-01,40
2016-02,28
2016-03,21
2016-04,20
2016-05,19
2016-06,18
2016-07,17
2016-08,17
2016-09,21
2016-10,29
2016-11,39
2016-12,52
2017-01,40
2017-02,27
2017-03,25
2017-04,20
2017-05,21
2017-06,20
2017-07,19
2017-08,19
2017-09,23
2017-10,33
2017-11,43
2017-12,56
2018-01,56
2018-02,33
2018-03,27
2018-04,24
2018-05,22
2018-06,21
2018-07,21
2018-08,21
2018-09,24
2018-10,39
2018-11,53
2018-12,48
2019-01,49
2019-02,39
2019-03,30
2019-04,24
2019-05,23
2019-06,22
2019-07,21
2019-08,21
2019-09,24
2019-10,40
2019-11,56
2019-12,46
2020-01,41
2020-02,34
2020-03,25
2020-04,25
2020-05,27
2020-06,24