DATE,AGE 65
10/13/02,149
10/20/02,127
10/27/02,113
11/3/02,154
11/10/02,154
11/17/02,180
11/24/02,175
12/1/02,182
12/8/02,186
12/15/02,206
12/22/02,182
12/29/02,212
1/5/03,177
1/12/03,251
1/19/03,274
1/26/03,241
2/2/03,221
2/9/03,282
2/16/03,308
2/23/03,291
3/2/03,308
3/9/03,287
3/16/03,247
3/23/03,274
3/30/03,156
4/6/03,159
4/13/03,135
4/20/03,163
4/27/03,106
5/4/03,114
5/11/03,84
5/18/03,74
5/25/03,70
6/1/03,45
6/8/03,44
6/15/03,34
6/22/03,55
6/29/03,34
7/6/03,32
7/13/03,24
7/20/03,43
7/27/03,53
8/3/03,48
8/10/03,39
8/17/03,46
8/24/03,37
8/31/03,27
9/7/03,30
9/14/03,36
9/21/03,24
9/28/03,26
10/5/03,34
10/12/03,146
10/19/03,191
10/26/03,195
11/2/03,216
11/9/03,276
11/16/03,264
11/23/03,310
11/30/03,471
12/7/03,672
12/14/03,1067
12/21/03,1219
12/28/03,1508
1/4/04,1331
1/11/04,1220
1/18/04,461
1/25/04,360
2/1/04,339
2/8/04,302
2/15/04,218
2/22/04,259
2/29/04,203
3/7/04,227
3/14/04,178
3/21/04,175
3/28/04,179
4/4/04,142
4/11/04,116
4/18/04,131
4/25/04,142
5/2/04,108
5/9/04,85
5/16/04,74
5/23/04,94
5/30/04,66
6/6/04,73
6/13/04,66
6/20/04,46
6/27/04,81
7/4/04,62
7/11/04,62
7/18/04,80
7/25/04,38
8/1/04,40
8/8/04,60
8/15/04,63
8/22/04,58
8/29/04,44
9/5/04,71
9/12/04,60
9/19/04,68
9/26/04,83
10/3/04,82
10/10/04,185
10/17/04,216
10/24/04,226
10/31/04,285
11/7/04,291
11/14/04,319
11/21/04,299
11/28/04,271
12/5/04,376
12/12/04,375
12/19/04,371
12/26/04,418
1/2/05,621
1/9/05,712
1/16/05,611
1/23/05,608
1/30/05,725
2/6/05,958
2/13/05,1132
2/20/05,1182
2/27/05,1026
3/6/05,836
3/13/05,745
3/20/05,604
3/27/05,550
4/3/05,390
4/10/05,330
4/17/05,317
4/24/05,306
5/1/05,224
5/8/05,189
5/15/05,208
5/22/05,200
5/29/05,156
6/5/05,160
6/12/05,140
6/19/05,125
6/26/05,110
7/3/05,84
7/10/05,69
7/17/05,75
7/24/05,68
7/31/05,56
8/7/05,58
8/14/05,57
8/21/05,47
8/28/05,54
9/4/05,51
9/11/05,63
9/18/05,52
9/25/05,50
10/2/05,63
10/9/05,234
10/16/05,197
10/23/05,212
10/30/05,213
11/6/05,282
11/13/05,295
11/20/05,315
11/27/05,294
12/4/05,349
12/11/05,387
12/18/05,396
12/25/05,530
1/1/06,721
1/8/06,734
1/15/06,534
1/22/06,460
1/29/06,544
2/5/06,498
2/12/06,537
2/19/06,631
2/26/06,791
3/5/06,767
3/12/06,678
3/19/06,607
3/26/06,541
4/2/06,478
4/9/06,342
4/16/06,285
4/23/06,239
4/30/06,180
5/7/06,190
5/14/06,187
5/21/06,162
5/28/06,146
6/4/06,108
6/11/06,131
6/18/06,81
6/25/06,100
7/2/06,92
7/9/06,71
7/16/06,108
7/23/06,112
7/30/06,128
8/6/06,88
8/13/06,82
8/20/06,91
8/27/06,76
9/3/06,77
9/10/06,69
9/17/06,78
9/24/06,80
10/1/06,81
10/8/06,264
10/15/06,200
10/22/06,265
10/29/06,224
11/5/06,281
11/12/06,314
11/19/06,290
11/26/06,357
12/3/06,391
12/10/06,431
12/17/06,479
12/24/06,503
12/31/06,586
1/7/07,584
1/14/07,480
1/21/07,412
1/28/07,537
2/4/07,457
2/11/07,452
2/18/07,529
2/25/07,608
3/4/07,578
3/11/07,447
3/18/07,472
3/25/07,349
4/1/07,351
4/8/07,331
4/15/07,345
4/22/07,287
4/29/07,220
5/6/07,210
5/13/07,175
5/20/07,176
5/27/07,136
6/3/07,130
6/10/07,119
6/17/07,134
6/24/07,100
7/1/07,102
7/8/07,102
7/15/07,52
7/22/07,85
7/29/07,96
8/5/07,61
8/12/07,78
8/19/07,95
8/26/07,88
9/2/07,108
9/9/07,73
9/16/07,99
9/23/07,121
9/30/07,128
10/7/07,290
10/14/07,303
10/21/07,352
10/28/07,375
11/4/07,368
11/11/07,377
11/18/07,471
11/25/07,476
12/2/07,413
12/9/07,392
12/16/07,402
12/23/07,459
12/30/07,522
1/13/08,670
1/20/08,816
1/27/08,595
2/3/08,722
2/10/08,1021
2/17/08,1302
2/24/08,1558
3/2/08,1728
3/9/08,1508
3/16/08,1204
3/23/08,1048
3/30/08,874
4/6/08,796
4/13/08,642
4/20/08,486
4/27/08,407
5/4/08,323
5/11/08,235
5/18/08,208
5/25/08,211
6/1/08,211
6/8/08,243
6/15/08,139
6/22/08,187
6/29/08,160
7/6/08,133
7/13/08,155
7/20/08,132
7/27/08,171
8/3/08,131
8/10/08,139
8/17/08,216
8/24/08,184
8/31/08,134
9/7/08,127
9/14/08,144
9/21/08,177
9/28/08,188
10/5/08,179
10/12/08,324
10/19/08,322
10/26/08,341
11/2/08,367
11/9/08,452
11/16/08,372
11/23/08,412
11/30/08,412
12/7/08,457
12/14/08,469
12/21/08,439
12/28/08,456
1/4/09,495
1/11/09,584
1/18/09,473
1/25/09,436
2/1/09,468
2/8/09,540
2/15/09,752
2/22/09,638
3/1/09,657
3/8/09,633
3/15/09,618
3/22/09,582
3/29/09,450
4/5/09,399
4/12/09,391
4/19/09,363
4/26/09,397
5/3/09,670
5/10/09,562
5/17/09,412
5/24/09,424
5/31/09,487
6/7/09,412
6/14/09,384
6/21/09,333
6/28/09,326
7/5/09,361
7/12/09,293
7/19/09,238
7/26/09,231
8/2/09,294
8/9/09,263
8/16/09,265
8/23/09,396
8/30/09,443
9/6/09,541
9/13/09,520
9/20/09,652
9/27/09,588
10/4/09,564
10/11/09,903
10/18/09,1013
10/25/09,1070
11/1/09,1128
11/8/09,1074
11/15/09,978
11/22/09,883
11/29/09,771
12/6/09,818
12/13/09,715
12/20/09,659
12/27/09,644
1/3/10,803
1/10/10,763
1/17/10,622
1/24/10,578
1/31/10,528
2/7/10,550
2/14/10,658
2/21/10,498
2/28/10,679
3/7/10,672
3/14/10,700
3/21/10,628
3/28/10,534
4/4/10,528
4/11/10,428
4/18/10,404
4/25/10,414
5/2/10,395
5/9/10,365
5/16/10,347
5/23/10,372
5/30/10,349
6/6/10,335
6/13/10,322
6/20/10,240
6/27/10,249
7/4/10,238
7/11/10,222
7/18/10,209
7/25/10,198
8/1/10,174
8/8/10,209
8/15/10,214
8/22/10,198
8/29/10,202
9/5/10,204
9/12/10,234
9/19/10,253
9/26/10,326
10/3/10,294
10/10/10,400
10/17/10,444
10/24/10,411
10/31/10,420
11/7/10,455
11/14/10,511
11/21/10,497
11/28/10,550
12/5/10,619
12/12/10,627
12/19/10,650
12/26/10,838
1/2/11,1068
1/9/11,1059
1/16/11,953
1/23/11,938
1/30/11,931
2/6/11,1197
2/13/11,1096
2/20/11,1293
2/27/11,1267
3/6/11,1146
3/13/11,899
3/20/11,804
3/27/11,613
4/3/11,622
4/10/11,508
4/17/11,450
4/24/11,428
5/1/11,383
5/8/11,393
5/15/11,351
5/22/11,305
5/29/11,299
6/5/11,307
6/12/11,278
6/19/11,262
6/26/11,244
7/3/11,210
7/10/11,224
7/17/11,188
7/24/11,178
7/31/11,169
8/7/11,151
8/14/11,158
8/21/11,166
8/28/11,220
9/4/11,213
9/11/11,185
9/18/11,205
9/25/11,242
10/2/11,244
10/9/11,377
10/16/11,370
10/23/11,379
10/30/11,380
11/6/11,387
11/13/11,456
11/20/11,474
11/27/11,430
12/4/11,413
12/11/11,442
12/18/11,546
12/25/11,521
1/1/12,668
1/8/12,715
1/15/12,611
1/22/12,498
1/29/12,513
2/5/12,564
2/12/12,565
2/19/12,667
2/26/12,761
3/4/12,766
3/11/12,629
3/18/12,701
3/25/12,609
4/1/12,549
4/8/12,572
4/15/12,544
4/22/12,393
4/29/12,435
5/6/12,455
5/13/12,419
5/20/12,375
5/27/12,378
6/3/12,350
6/10/12,338
6/17/12,300
6/24/12,285
7/1/12,288
7/8/12,273
7/15/12,220
7/22/12,241
7/29/12,283
8/5/12,267
8/12/12,284
8/19/12,232
8/26/12,296
9/2/12,277
9/9/12,318
9/16/12,415
9/23/12,348
9/30/12,398
10/7/12,415
10/14/12,489
10/21/12,488
10/28/12,516
11/4/12,484
11/11/12,541
11/18/12,597
11/25/12,683
12/2/12,953
12/9/12,1071
12/16/12,1262
12/23/12,1648
12/30/12,2554
1/13/13,2792
1/20/13,2796
1/27/13,2316
2/3/13,1765
2/10/13,1574
2/17/13,1207
2/24/13,1045
3/3/13,1023
3/10/13,968
3/17/13,858
3/24/13,889
3/31/13,741
4/7/13,632
4/14/13,675
4/21/13,603
4/28/13,491
5/5/13,425
5/12/13,370
5/19/13,361
5/26/13,393
6/2/13,368
6/9/13,357
6/16/13,330
6/23/13,277
6/30/13,302
7/7/13,285
7/14/13,251
7/21/13,219
7/28/13,185
8/4/13,221
8/11/13,184
8/18/13,198
8/25/13,188
9/1/13,232
9/8/13,316
9/15/13,311
9/22/13,354
9/29/13,365
10/6/13,459
10/13/13,456
10/20/13,533
10/27/13,500
11/3/13,514
11/10/13,531
11/17/13,538
11/24/13,578
12/1/13,583
12/8/13,639
12/15/13,865
12/22/13,802
12/29/13,939
1/5/14,1316
1/12/14,1750
1/19/14,1622
1/26/14,1606
2/2/14,1332
2/9/14,1203
2/16/14,1125
2/23/14,969
3/2/14,873
3/9/14,890
3/16/14,792
3/23/14,816
3/30/14,810
4/6/14,772
4/13/14,807
4/20/14,786
4/27/14,710
5/4/14,658
5/11/14,559
5/18/14,528
5/25/14,532
6/1/14,483
6/8/14,504
6/15/14,398
6/22/14,401
6/29/14,388
7/6/14,328
7/13/14,308
7/20/14,351
7/27/14,361
8/3/14,334
8/10/14,326
8/17/14,273
8/24/14,311
8/31/14,315
9/7/14,307
9/14/14,302
9/21/14,396
9/28/14,393
10/5/14,428
10/12/14,527
10/19/14,548
10/26/14,580
11/2/14,531
11/9/14,530
11/16/14,565
11/23/14,588
11/30/14,642
12/7/14,880
12/14/14,1224
12/21/14,1441
12/28/14,2103
1/4/15,3519
1/11/15,4117
1/18/15,2339
1/25/15,2030
2/1/15,1915
2/8/15,1654
2/15/15,1505
2/22/15,1271
3/1/15,1249
3/8/15,1076
3/15/15,1067
3/22/15,997
3/29/15,931
4/5/15,889
4/12/15,878
4/19/15,774
4/26/15,640
5/3/15,602
5/10/15,589
5/17/15,602
5/24/15,470
5/31/15,493
6/7/15,462
6/14/15,456
6/21/15,408
6/28/15,429
7/5/15,380
7/12/15,371
7/19/15,341
7/26/15,321
8/2/15,300
8/9/15,325
8/16/15,291
8/23/15,359
8/30/15,354
9/6/15,324
9/13/15,329
9/20/15,397
9/27/15,432
10/4/15,404
10/11/15,621
10/18/15,678
10/25/15,653
11/1/15,694
11/8/15,692
11/15/15,745
11/22/15,766
11/29/15,703
12/6/15,829
12/13/15,873
12/20/15,943
12/27/15,1013
1/3/16,1180
1/10/16,1157
1/17/16,1021
1/24/16,954
1/31/16,1007
2/7/16,1072
2/14/16,1179
2/21/16,1370
2/28/16,1390
3/6/16,1440
3/13/16,1630
3/20/16,1471
3/27/16,1282
4/3/16,1201
4/10/16,1130
4/17/16,1031
4/24/16,945
5/1/16,901
5/8/16,746
5/15/16,665
5/22/16,643
5/29/16,618
6/5/16,532
6/12/16,518
6/19/16,466
6/26/16,386
7/3/16,384
7/10/16,383
7/17/16,383
7/24/16,375
7/31/16,323
8/7/16,315
8/14/16,319
8/21/16,306
8/28/16,349
9/4/16,341
9/11/16,381
9/18/16,452
9/25/16,438
10/2/16,483
10/9/16,643
10/16/16,678
10/23/16,695
10/30/16,700
11/6/16,715
11/13/16,758
11/20/16,829
11/27/16,867
12/4/16,1056
12/11/16,1047
12/18/16,1019
12/25/16,1421
1/1/17,2145
1/8/17,2230
1/15/17,2082
1/22/17,1930
1/29/17,1823
2/5/17,2093
2/12/17,2646
2/19/17,2637
2/26/17,2808
3/5/17,2181
3/12/17,1918
3/19/17,1780
3/26/17,1838
4/2/17,1624
4/9/17,1333
4/16/17,1171
4/23/17,993
4/30/17,928
5/7/17,717
5/14/17,721
5/21/17,709
5/28/17,647
6/4/17,583
6/11/17,591
6/18/17,547
6/25/17,498
7/2/17,467
7/9/17,418
7/16/17,372
7/23/17,419
7/30/17,376
8/6/17,433
8/13/17,390
8/20/17,412
8/27/17,411
9/3/17,503
9/10/17,555
9/17/17,628
9/24/17,655
10/1/17,640
10/8/17,1750
10/15/17,1894
10/22/17,1948
10/29/17,2098
11/5/17,2124
11/12/17,2258
11/19/17,2774
11/26/17,2890
12/3/17,3658
12/10/17,3714
12/17/17,4664
12/24/17,7466
12/31/17,10238
1/7/18,11776
1/14/18,12398
1/21/18,11122
1/28/18,12130
2/4/18,11880
2/11/18,11748
2/18/18,10878
2/25/18,8358
3/4/18,5750
3/11/18,4584
3/18/18,4264
3/25/18,3942
4/1/18,3486
4/8/18,3382
4/15/18,2894
4/22/18,2206
4/29/18,2192
5/6/18,1994
5/13/18,1804
5/20/18,1598
5/27/18,1732
6/3/18,1466
6/10/18,1308
6/17/18,1316
6/24/18,1232
7/1/18,1252
7/8/18,1098
7/15/18,1174
7/22/18,938
7/29/18,926
8/5/18,908
8/12/18,952
8/19/18,956
8/26/18,1030
9/2/18,1084
9/9/18,1242
9/16/18,1382
9/23/18,1458
9/30/18,1338
10/7/18,1298
10/14/18,1326
10/21/18,1400
10/28/18,1444
11/4/18,1451
11/11/18,1451
11/18/18,1487
11/25/18,1702
12/2/18,2078
12/9/18,1862
12/16/18,1981
12/23/18,2480
12/30/18,3534
1/13/19,4260
1/20/19,3446
1/27/19,2951
2/3/19,2860
2/10/19,3255
2/17/19,4102
2/24/19,4277
3/3/19,4485
3/10/19,4134
3/17/19,4056
3/24/19,4177
3/31/19,3898
4/7/19,3195
4/14/19,2802
4/21/19,2319
4/28/19,1876
5/5/19,1738
5/12/19,1537
5/19/19,1358
5/26/19,1361
6/2/19,1367
6/9/19,1301
6/16/19,1205
6/23/19,1079
6/30/19,928
7/7/19,862
7/14/19,776
7/21/19,737
7/28/19,704
8/4/19,615
8/11/19,604
8/18/19,758
8/25/19,694
9/1/19,716
9/8/19,777
9/15/19,870
9/22/19,959
9/29/19,1026
10/6/19,1101
10/13/19,1448
10/20/19,1603
10/27/19,1649
11/3/19,1793
11/10/19,1762
11/17/19,1843
11/24/19,1969
12/1/19,2148
12/8/19,2371
12/15/19,2779
12/22/19,2903
12/29/19,3349
1/5/20,5401
1/12/20,6881
1/19/20,5464
1/26/20,4729
2/2/20,4670
2/9/20,5475
2/16/20,5706
2/23/20,5457
3/1/20,5189
3/8/20,5110
3/15/20,5698
3/22/20,6696
3/29/20,6986
4/5/20,6458
4/12/20,5380
4/19/20,4014
4/26/20,2928
5/3/20,2293
5/10/20,1897
5/17/20,1623
5/24/20,1449
5/31/20,1586
6/7/20,1461
6/14/20,1409
6/21/20,1378
6/28/20,1472
7/5/20,1902
7/12/20,2223
7/19/20,2632
7/26/20,2436
8/2/20,2145
8/9/20,2114
8/16/20,1938
8/23/20,1758
8/30/20,1666
9/6/20,1489
9/13/20,1481
9/20/20,1446
9/27/20,1487
10/4/20,1579
10/11/20,1857
10/18/20,2327
10/25/20,2106
11/1/20,2180
11/8/20,2302
11/15/20,2461
11/22/20,2876
11/29/20,2898
12/6/20,3194
12/13/20,3140
12/20/20,3323
12/27/20,3145
1/3/21,3408
1/10/21,3668
1/17/21,2831
1/24/21,2542
1/31/21,2240
2/7/21,1927
2/14/21,1576
2/21/21,1504
2/28/21,1521
3/7/21,1351
3/14/21,1376
3/21/21,1360
3/28/21,1354
4/4/21,1265
4/11/21,1364
4/18/21,1385
4/25/21,1452
5/2/21,1419
5/9/21,1289
5/16/21,1308
5/23/21,1334
5/30/21,1179
6/6/21,1240
6/13/21,1225
6/20/21,1197
6/27/21,1304
7/4/21,1293
7/11/21,1509
7/18/21,1710
7/25/21,2150
8/1/21,2630
8/8/21,2884
8/15/21,2917
8/22/21,2896
8/29/21,2826
9/5/21,2625
9/12/21,2646
9/19/21,2306
9/26/21,2065
10/3/21,1837
10/10/21,2587
10/17/21,2442
10/24/21,2350
10/31/21,2358
11/7/21,2368
11/14/21,2724
11/21/21,2808
11/28/21,3102
12/5/21,4005
12/12/21,3886
12/19/21,3961
12/26/21,5304
1/2/22,8997
1/9/22,7939
1/16/22,6178
1/23/22,4555
1/30/22,3508
2/6/22,2552
2/13/22,2153
2/20/22,1798
2/27/22,1767
3/6/22,1674
3/13/22,1770
3/20/22,2075
3/27/22,2169
4/3/22,2405
4/10/22,2548
4/17/22,2828
4/24/22,3115
5/1/22,3336
5/8/22,3321
5/15/22,3852
5/22/22,3834
5/29/22,3715
6/5/22,3903
6/12/22,3765
6/19/22,3581
6/26/22,3620
7/3/22,3461
7/10/22,3736
7/17/22,3505
7/24/22,3432
7/31/22,3487
8/7/22,3107
8/14/22,2904
8/21/22,2681
8/28/22,2593
9/4/22,2452
9/11/22,2632
9/18/22,2435
9/25/22,2473
10/2/22,2633
10/9/22,3458