DATE,ILITOTAL
10/13/02,2060
10/20/02,2267
10/27/02,2176
11/3/02,2599
11/10/02,2907
11/17/02,3225
11/24/02,3097
12/1/02,2967
12/8/02,2709
12/15/02,3049
12/22/02,2957
12/29/02,3416
1/5/03,2857
1/12/03,3260
1/19/03,3729
1/26/03,4204
2/2/03,5696
2/9/03,7079
2/16/03,7782
2/23/03,7649
3/2/03,7228
3/9/03,5606
3/16/03,4450
3/23/03,3810
3/30/03,2987
4/6/03,2439
4/13/03,2028
4/20/03,2082
4/27/03,1467
5/4/03,1445
5/11/03,1075
5/18/03,1005
5/25/03,836
6/1/03,740
6/8/03,641
6/15/03,563
6/22/03,620
6/29/03,423
7/6/03,441
7/13/03,318
7/20/03,441
7/27/03,365
8/3/03,420
8/10/03,361
8/17/03,443
8/24/03,421
8/31/03,450
9/7/03,463
9/14/03,519
9/21/03,475
9/28/03,461
10/5/03,533
10/12/03,2442
10/19/03,2932
10/26/03,3031
11/2/03,3475
11/9/03,4690
11/16/03,5790
11/23/03,8385
11/30/03,11141
12/7/03,11742
12/14/03,18948
12/21/03,24962
12/28/03,23699
1/4/04,16415
1/11/04,11332
1/18/04,5583
1/25/04,4961
2/1/04,4436
2/8/04,4251
2/15/04,3824
2/22/04,3691
2/29/04,2916
3/7/04,2744
3/14/04,2708
3/21/04,2487
3/28/04,2300
4/4/04,1858
4/11/04,1705
4/18/04,1749
4/25/04,1615
5/2/04,1331
5/9/04,1394
5/16/04,1327
5/23/04,1262
5/30/04,1070
6/6/04,1061
6/13/04,987
6/20/04,851
6/27/04,887
7/4/04,698
7/11/04,710
7/18/04,836
7/25/04,659
8/1/04,719
8/8/04,733
8/15/04,809
8/22/04,770
8/29/04,799
9/5/04,960
9/12/04,913
9/19/04,1122
9/26/04,1089
10/3/04,1116
10/10/04,3171
10/17/04,3631
10/24/04,4019
10/31/04,4369
11/7/04,4551
11/14/04,4969
11/21/04,4983
11/28/04,4713
12/5/04,5407
12/12/04,5428
12/19/04,5755
12/26/04,5689
1/2/05,7279
1/9/05,8041
1/16/05,8323
1/23/05,9328
1/30/05,12422
2/6/05,16192
2/13/05,19369
2/20/05,19931
2/27/05,16630
3/6/05,13234
3/13/05,11601
3/20/05,9502
3/27/05,7900
4/3/05,6329
4/10/05,4816
4/17/05,4445
4/24/05,3825
5/1/05,3646
5/8/05,2990
5/15/05,3012
5/22/05,2531
5/29/05,2056
6/5/05,2099
6/12/05,1744
6/19/05,1614
6/26/05,1628
7/3/05,1359
7/10/05,1198
7/17/05,1148
7/24/05,1068
7/31/05,990
8/7/05,982
8/14/05,1023
8/21/05,928
8/28/05,922
9/4/05,1033
9/11/05,1061
9/18/05,1026
9/25/05,1219
10/2/05,1204
10/9/05,3586
10/16/05,3582
10/23/05,4122
10/30/05,4248
11/6/05,5005
11/13/05,5038
11/20/05,5276
11/27/05,4802
12/4/05,5966
12/11/05,6371
12/18/05,7697
12/25/05,8577
1/1/06,8842
1/8/06,8339
1/15/06,7882
1/22/06,7858
1/29/06,9114
2/5/06,9551
2/12/06,10427
2/19/06,11226
2/26/06,11901
3/5/06,11343
3/12/06,11261
3/19/06,9322
3/26/06,8064
4/2/06,7313
4/9/06,5738
4/16/06,4547
4/23/06,3550
4/30/06,3177
5/7/06,2780
5/14/06,2592
5/21/06,2428
5/28/06,2061
6/4/06,1645
6/11/06,2075
6/18/06,1430
6/25/06,1300
7/2/06,1271
7/9/06,1215
7/16/06,1617
7/23/06,1553
7/30/06,1455
8/6/06,1428
8/13/06,1373
8/20/06,1457
8/27/06,1138
9/3/06,1224
9/10/06,1463
9/17/06,1406
9/24/06,1487
10/1/06,1433
10/8/06,4513
10/15/06,4072
10/22/06,4737
10/29/06,4888
11/5/06,5380
11/12/06,6139
11/19/06,6668
11/26/06,6156
12/3/06,7530
12/10/06,8122
12/17/06,10396
12/24/06,10192
12/31/06,8913
1/7/07,8386
1/14/07,7761
1/21/07,7909
1/28/07,10888
2/4/07,12120
2/11/07,14197
2/18/07,14031
2/25/07,14048
3/4/07,11801
3/11/07,10715
3/18/07,9597
3/25/07,7562
4/1/07,6148
4/8/07,4958
4/15/07,4869
4/22/07,4179
4/29/07,3695
5/6/07,3077
5/13/07,2860
5/20/07,2442
5/27/07,2243
6/3/07,2058
6/10/07,1679
6/17/07,1614
6/24/07,1456
7/1/07,1455
7/8/07,1169
7/15/07,1086
7/22/07,1211
7/29/07,1356
8/5/07,1037
8/12/07,1172
8/19/07,1283
8/26/07,1448
9/2/07,1526
9/9/07,1554
9/16/07,1694
9/23/07,1913
9/30/07,2228
10/7/07,5641
10/14/07,6444
10/21/07,6941
10/28/07,7434
11/4/07,7915
11/11/07,8687
11/18/07,9104
11/25/07,8570
12/2/07,9171
12/9/07,8436
12/16/07,8091
12/23/07,8750
12/30/07,8902
1/13/08,9706
1/20/08,11115
1/27/08,12197
2/3/08,17171
2/10/08,24812
2/17/08,31896
2/24/08,31625
3/2/08,30245
3/9/08,25027
3/16/08,20254
3/23/08,16714
3/30/08,13040
4/6/08,10376
4/13/08,8583
4/20/08,7045
4/27/08,6079
5/4/08,4953
5/11/08,4224
5/18/08,4011
5/25/08,3904
6/1/08,3646
6/8/08,3803
6/15/08,2933
6/22/08,2906
6/29/08,2842
7/6/08,2534
7/13/08,2405
7/20/08,2431
7/27/08,2319
8/3/08,2166
8/10/08,2289
8/17/08,2220
8/24/08,2368
8/31/08,2237
9/7/08,2429
9/14/08,2461
9/21/08,2788
9/28/08,3735
10/5/08,3400
10/12/08,5687
10/19/08,5959
10/26/08,5896
11/2/08,6485
11/9/08,6987
11/16/08,7297
11/23/08,7667
11/30/08,7733
12/7/08,7634
12/14/08,8708
12/21/08,8689
12/28/08,7812
1/4/09,8706
1/11/09,8603
1/18/09,9289
1/25/09,11456
2/1/09,14324
2/8/09,18268
2/15/09,21667
2/22/09,20022
3/1/09,20450
3/8/09,18441
3/15/09,15711
3/22/09,13277
3/29/09,11400
4/5/09,9669
4/12/09,8460
4/19/09,7222
4/26/09,7348
5/3/09,18627
5/10/09,14578
5/17/09,12554
5/24/09,20774
5/31/09,22394
6/7/09,17105
6/14/09,12392
6/21/09,10780
6/28/09,8801
7/5/09,7422
7/12/09,6290
7/19/09,5964
7/26/09,5735
8/2/09,5587
8/9/09,5526
8/16/09,5877
8/23/09,8941
8/30/09,14556
9/6/09,21350
9/13/09,22561
9/20/09,26091
9/27/09,24454
10/4/09,27919
10/11/09,48420
10/18/09,58196
10/25/09,69068
11/1/09,66411
11/8/09,57017
11/15/09,42729
11/22/09,32520
11/29/09,22508
12/6/09,21730
12/13/09,19325
12/20/09,17081
12/27/09,14575
1/3/10,15613
1/10/10,14299
1/17/10,14088
1/24/10,14757
1/31/10,15122
2/7/10,16037
2/14/10,15381
2/21/10,15065
2/28/10,16087
3/7/10,14486
3/14/10,14354
3/21/10,12601
3/28/10,11191
4/4/10,10359
4/11/10,8813
4/18/10,8801
4/25/10,8362
5/2/10,8440
5/9/10,7914
5/16/10,7697
5/23/10,7603
5/30/10,6853
6/6/10,6595
6/13/10,5755
6/20/10,5316
6/27/10,5334
7/4/10,4718
7/11/10,4691
7/18/10,4234
7/25/10,3950
8/1/10,3850
8/8/10,4077
8/15/10,4008
8/22/10,4518
8/29/10,4420
9/5/10,5007
9/12/10,5493
9/19/10,5510
9/26/10,6741
10/3/10,6387
10/10/10,8473
10/17/10,9347
10/24/10,9684
10/31/10,9904
11/7/10,11020
11/14/10,11807
11/21/10,13336
11/28/10,12079
12/5/10,13997
12/12/10,14958
12/19/10,18022
12/26/10,19899
1/2/11,20346
1/9/11,20026
1/16/11,20721
1/23/11,26257
1/30/11,31975
2/6/11,34284
2/13/11,34456
2/20/11,36567
2/27/11,31277
3/6/11,24627
3/13/11,20377
3/20/11,17309
3/27/11,14031
4/3/11,12957
4/10/11,11498
4/17/11,9391
4/24/11,8695
5/1/11,7830
5/8/11,7307
5/15/11,7236
5/22/11,6530
5/29/11,6072
6/5/11,5946
6/12/11,5547
6/19/11,4989
6/26/11,4448
7/3/11,4218
7/10/11,4009
7/17/11,3721
7/24/11,3597
7/31/11,3538
8/7/11,3202
8/14/11,3523
8/21/11,3874
8/28/11,4444
9/4/11,4717
9/11/11,4813
9/18/11,5567
9/25/11,5822
10/2/11,6708
10/9/11,9365
10/16/11,9803
10/23/11,9958
10/30/11,10298
11/6/11,11396
11/13/11,11496
11/20/11,11721
11/27/11,10377
12/4/11,11479
12/11/11,11187
12/18/11,12137
12/25/11,11958
1/1/12,12356
1/8/12,11992
1/15/12,11543
1/22/12,11939
1/29/12,13209
2/5/12,14448
2/12/12,14624
2/19/12,15929
2/26/12,16137
3/4/12,16518
3/11/12,15763
3/18/12,17150
3/25/12,14524
4/1/12,13017
4/8/12,11930
4/15/12,10732
4/22/12,10123
4/29/12,9370
5/6/12,8999
5/13/12,8576
5/20/12,8062
5/27/12,7878
6/3/12,7153
6/10/12,6765
6/17/12,6133
6/24/12,6048
7/1/12,5786
7/8/12,5291
7/15/12,5185
7/22/12,4931
7/29/12,5103
8/5/12,5159
8/12/12,5026
8/19/12,5051
8/26/12,6141
9/2/12,6318
9/9/12,6296
9/16/12,7382
9/23/12,7656
9/30/12,7807
10/7/12,9395
10/14/12,10158
10/21/12,10585
10/28/12,10913
11/4/12,11061
11/11/12,12674
11/18/12,13623
11/25/12,14650
12/2/12,18521
12/9/12,24877
12/16/12,29432
12/23/12,34332
12/30/12,36588
1/13/13,34103
1/20/13,39896
1/27/13,39441
2/3/13,32426
2/10/13,29808
2/17/13,24987
2/24/13,22321
3/3/13,20519
3/10/13,19231
3/17/13,18829
3/24/13,17392
3/31/13,15254
4/7/13,13714
4/14/13,12273
4/21/13,10818
4/28/13,9188
5/5/13,8589
5/12/13,7986
5/19/13,7704
5/26/13,7317
6/2/13,6589
6/9/13,6190
6/16/13,5638
6/23/13,5539
6/30/13,5474
7/7/13,4915
7/14/13,4506
7/21/13,4510
7/28/13,4186
8/4/13,4233
8/11/13,3886
8/18/13,4075
8/25/13,4168
9/1/13,4317
9/8/13,5053
9/15/13,5626
9/22/13,6374
9/29/13,7110
10/6/13,7963
10/13/13,9677
10/20/13,10420
10/27/13,10658
11/3/13,12036
11/10/13,12502
11/17/13,13498
11/24/13,13927
12/1/13,15168
12/8/13,13975
12/15/13,18920
12/22/13,19398
12/29/13,24697
1/5/14,26988
1/12/14,28654
1/19/14,28147
1/26/14,28370
2/2/14,25502
2/9/14,23484
2/16/14,21085
2/23/14,18195
3/2/14,17234
3/9/14,15914
3/16/14,15044
3/23/14,14024
3/30/14,14926
4/6/14,14661
4/13/14,14637
4/20/14,14206
4/27/14,11723
5/4/14,10814
5/11/14,9648
5/18/14,9775
5/25/14,9033
6/1/14,8797
6/8/14,7658
6/15/14,7229
6/22/14,6783
6/29/14,6369
7/6/14,6038
7/13/14,5352
7/20/14,5295
7/27/14,5083
8/3/14,4765
8/10/14,4942
8/17/14,4744
8/24/14,4980
8/31/14,5305
9/7/14,5799
9/14/14,6050
9/21/14,8130
9/28/14,8888
10/5/14,8874
10/12/14,10150
10/19/14,10977
10/26/14,11941
11/2/14,12292
11/9/14,12313
11/16/14,13853
11/23/14,14062
11/30/14,16674
12/7/14,17602
12/14/14,22905
12/21/14,29172
12/28/14,37382
1/4/15,40533
1/11/15,36891
1/18/15,31204
1/25/15,33221
2/1/15,30621
2/8/15,28151
2/15/15,25218
2/22/15,21109
3/1/15,19178
3/8/15,18441
3/15/15,17833
3/22/15,16695
3/29/15,16122
4/5/15,14975
4/12/15,13733
4/19/15,12044
4/26/15,10860
5/3/15,11095
5/10/15,10694
5/17/15,9671
5/24/15,9024
5/31/15,7913
6/7/15,6946
6/14/15,6744
6/21/15,5850
6/28/15,5913
7/5/15,5232
7/12/15,5116
7/19/15,4870
7/26/15,4626
8/2/15,4605
8/9/15,4753
8/16/15,4750
8/23/15,5173
8/30/15,5648
9/6/15,5963
9/13/15,5970
9/20/15,7062
9/27/15,7704
10/4/15,7626
10/11/15,10049
10/18/15,10715
10/25/15,11584
11/1/15,11164
11/8/15,12423
11/15/15,12676
11/22/15,13484
11/29/15,12158
12/6/15,14617
12/13/15,14986
12/20/15,15396
12/27/15,14839
1/3/16,15679
1/10/16,15654
1/17/16,15517
1/24/16,15661
1/31/16,18143
2/7/16,18944
2/14/16,21774
2/21/16,24681
2/28/16,26423
3/6/16,28468
3/13/16,30481
3/20/16,24894
3/27/16,21940
4/3/16,19603
4/10/16,16769
4/17/16,16261
4/24/16,15437
5/1/16,13836
5/8/16,11870
5/15/16,10707
5/22/16,9798
5/29/16,8787
6/5/16,7997
6/12/16,7201
6/19/16,6768
6/26/16,6024
7/3/16,5686
7/10/16,5118
7/17/16,5078
7/24/16,5044
7/31/16,4925
8/7/16,4596
8/14/16,4868
8/21/16,5265
8/28/16,6260
9/4/16,6504
9/11/16,6623
9/18/16,7639
9/25/16,8229
10/2/16,8505
10/9/16,10864
10/16/16,10997
10/23/16,11926
10/30/16,12648
11/6/16,13790
11/13/16,14258
11/20/16,15160
11/27/16,14208
12/4/16,16605
12/11/16,16961
12/18/16,18463
12/25/16,21565
1/1/17,24900
1/8/17,24178
1/15/17,24897
1/22/17,28781
1/29/17,31265
2/5/17,36517
2/12/17,42890
2/19/17,41035
2/26/17,40124
3/5/17,30183
3/12/17,28060
3/19/17,25484
3/26/17,27354
4/2/17,24342
4/9/17,19677
4/16/17,15548
4/23/17,13006
4/30/17,11924
5/7/17,10762
5/14/17,10202
5/21/17,9809
5/28/17,8564
6/4/17,7756
6/11/17,7510
6/18/17,6636
6/25/17,6240
7/2/17,5596
7/9/17,5326
7/16/17,4961
7/23/17,4747
7/30/17,4879
8/6/17,4899
8/13/17,4915
8/20/17,5230
8/27/17,6653
9/3/17,7133
9/10/17,7072
9/17/17,8304
9/24/17,8563
10/1/17,9079
10/8/17,25678
10/15/17,26534
10/22/17,28638
10/29/17,31664
11/5/17,34138
11/12/17,38114
11/19/17,43784
11/26/17,39632
12/3/17,47504
12/10/17,49910
12/17/17,63004
12/24/17,85564
12/31/17,90510
1/7/18,94538
1/14/18,113522
1/21/18,126072
1/28/18,154652
2/4/18,171970
2/11/18,175650
2/18/18,152420
2/25/18,106050
3/4/18,72128
3/11/18,58266
3/18/18,51876
3/25/18,47610
4/1/18,41386
4/8/18,38148
4/15/18,33328
4/22/18,29738
4/29/18,29104
5/6/18,26582
5/13/18,23238
5/20/18,22132
5/27/18,21292
6/3/18,19216
6/10/18,17386
6/17/18,15146
6/24/18,14746
7/1/18,13894
7/8/18,12516
7/15/18,13002
7/22/18,11572
7/29/18,10994
8/5/18,11224
8/12/18,11722
8/19/18,13074
8/26/18,14646
9/2/18,16222
9/9/18,19060
9/16/18,20130
9/23/18,22378
9/30/18,23534
10/7/18,17975
10/14/18,18652
10/21/18,19948
10/28/18,21634
11/4/18,23169
11/11/18,24085
11/18/18,24419
11/25/18,24635
12/2/18,29096
12/9/18,28377
12/16/18,33113
12/23/18,38260
12/30/18,44012
1/13/19,42135
1/20/19,38815
1/27/19,41199
2/3/19,46241
2/10/19,55264
2/17/19,69732
2/24/19,70056
3/3/19,66461
3/10/19,58802
3/17/19,55431
3/24/19,53177
3/31/19,45668
4/7/19,37948
4/14/19,32941
4/21/19,27854
4/28/19,23147
5/5/19,20610
5/12/19,18864
5/19/19,17107
5/26/19,16459
6/2/19,15763
6/9/19,14776
6/16/19,13451
6/23/19,12106
6/30/19,10695
7/7/19,10027
7/14/19,8722
7/21/19,8425
7/28/19,8116
8/4/19,7787
8/11/19,7884
8/18/19,8060
8/25/19,8994
9/1/19,10103
9/8/19,11904
9/15/19,13188
9/22/19,14843
9/29/19,16001
10/6/19,17453
10/13/19,21916
10/20/19,22954
10/27/19,24886
11/3/19,27419
11/10/19,28910
11/17/19,34586
11/24/19,37732
12/1/19,44161
12/8/19,44044
12/15/19,48904
12/22/19,56444
12/29/19,71594
1/5/20,95757
1/12/20,88731
1/19/20,75614
1/26/20,79783
2/2/20,90150
2/9/20,108307
2/16/20,111361
2/23/20,95418
3/1/20,80559
3/8/20,74823
3/15/20,78779
3/22/20,89607
3/29/20,78584
4/5/20,53142
4/12/20,36251
4/19/20,24974
4/26/20,18274
5/3/20,15164
5/10/20,12821
5/17/20,11068
5/24/20,10480
5/31/20,11735
6/7/20,9614
6/14/20,9325
6/21/20,9580
6/28/20,11868
7/5/20,15499
7/12/20,17843
7/19/20,20050
7/26/20,19261
8/2/20,16533
8/9/20,15524
8/16/20,14118
8/23/20,13193
8/30/20,12952
9/6/20,13159
9/13/20,12347
9/20/20,13036
9/27/20,13049
10/4/20,14589
10/11/20,16570
10/18/20,19194
10/25/20,17281
11/1/20,18187
11/8/20,18612
11/15/20,21410
11/22/20,22623
11/29/20,22722
12/6/20,21320
12/13/20,22305
12/20/20,22219
12/27/20,20886
1/3/21,19852
1/10/21,22436
1/17/21,19194
1/24/21,18353
1/31/21,16910
2/7/21,16101
2/14/21,14108
2/21/21,12602
2/28/21,13347
3/7/21,13017
3/14/21,14098
3/21/21,14580
3/28/21,15359
4/4/21,15994
4/11/21,18148
4/18/21,19177
4/25/21,19313
5/2/21,20134
5/9/21,19937
5/16/21,20373
5/23/21,21266
5/30/21,19685
6/6/21,20152
6/13/21,19188
6/20/21,19672
6/27/21,19896
7/4/21,20103
7/11/21,22376
7/18/21,25263
7/25/21,30554
8/1/21,35221
8/8/21,37762
8/15/21,40069
8/22/21,42753
8/29/21,43062
9/5/21,40878
9/12/21,39438
9/19/21,36222
9/26/21,34019
10/3/21,30002
10/10/21,39619
10/17/21,37489
10/24/21,35684
10/31/21,36616
11/7/21,39986
11/14/21,44242
11/21/21,47047
11/28/21,43297
12/5/21,52671
12/12/21,55027
12/19/21,62539
12/26/21,79184
1/2/22,113921
1/9/22,93323
1/16/22,69158
1/23/22,48685
1/30/22,34720
2/6/22,25809
2/13/22,23719
2/20/22,23930
2/27/22,23620
3/6/22,25789
3/13/22,28073
3/20/22,31342
3/27/22,32433
4/3/22,34811
4/10/22,38128
4/17/22,40953
4/24/22,42072
5/1/22,44980
5/8/22,47787
5/15/22,53380
5/22/22,54062
5/29/22,53992
6/5/22,51879
6/12/22,45240
6/19/22,40250
6/26/22,37830
7/3/22,34570
7/10/22,34995
7/17/22,33011
7/24/22,32613
7/31/22,32040
8/7/22,29647
8/14/22,28923
8/21/22,31572
8/28/22,35788
9/4/22,37529
9/11/22,38334
9/18/22,39596
9/25/22,44458
10/2/22,45865
10/9/22,52900