DATE,NUM. OF PROVIDERS
10/13/02,754
10/20/02,785
10/27/02,831
11/3/02,863
11/10/02,909
11/17/02,930
11/24/02,923
12/1/02,922
12/8/02,918
12/15/02,937
12/22/02,928
12/29/02,908
1/5/03,865
1/12/03,879
1/19/03,926
1/26/03,902
2/2/03,927
2/9/03,884
2/16/03,889
2/23/03,903
3/2/03,871
3/9/03,857
3/16/03,839
3/23/03,835
3/30/03,795
4/6/03,775
4/13/03,741
4/20/03,735
4/27/03,669
5/4/03,682
5/11/03,655
5/18/03,613
5/25/03,547
6/1/03,406
6/8/03,393
6/15/03,344
6/22/03,341
6/29/03,322
7/6/03,322
7/13/03,310
7/20/03,308
7/27/03,301
8/3/03,302
8/10/03,290
8/17/03,295
8/24/03,283
8/31/03,277
9/7/03,276
9/14/03,271
9/21/03,267
9/28/03,264
10/5/03,268
10/12/03,830
10/19/03,931
10/26/03,974
11/2/03,1007
11/9/03,1074
11/16/03,1111
11/23/03,1141
11/30/03,1129
12/7/03,1118
12/14/03,1189
12/21/03,1173
12/28/03,1148
1/4/04,1122
1/11/04,1139
1/18/04,1141
1/25/04,1084
2/1/04,1071
2/8/04,1054
2/15/04,986
2/22/04,1004
2/29/04,948
3/7/04,894
3/14/04,897
3/21/04,849
3/28/04,859
4/4/04,828
4/11/04,774
4/18/04,755
4/25/04,679
5/2/04,658
5/9/04,629
5/16/04,599
5/23/04,553
5/30/04,463
6/6/04,452
6/13/04,443
6/20/04,426
6/27/04,423
7/4/04,408
7/11/04,381
7/18/04,378
7/25/04,370
8/1/04,363
8/8/04,345
8/15/04,334
8/22/04,335
8/29/04,333
9/5/04,326
9/12/04,337
9/19/04,341
9/26/04,336
10/3/04,364
10/10/04,1176
10/17/04,1187
10/24/04,1267
10/31/04,1293
11/7/04,1302
11/14/04,1344
11/21/04,1336
11/28/04,1341
12/5/04,1369
12/12/04,1346
12/19/04,1379
12/26/04,1288
1/2/05,1332
1/9/05,1383
1/16/05,1342
1/23/05,1348
1/30/05,1334
2/6/05,1303
2/13/05,1324
2/20/05,1330
2/27/05,1280
3/6/05,1268
3/13/05,1227
3/20/05,1185
3/27/05,1148
4/3/05,1103
4/10/05,1048
4/17/05,1000
4/24/05,978
5/1/05,971
5/8/05,923
5/15/05,878
5/22/05,825
5/29/05,687
6/5/05,637
6/12/05,603
6/19/05,582
6/26/05,587
7/3/05,550
7/10/05,533
7/17/05,524
7/24/05,507
7/31/05,492
8/7/05,488
8/14/05,479
8/21/05,480
8/28/05,428
9/4/05,420
9/11/05,416
9/18/05,408
9/25/05,419
10/2/05,447
10/9/05,1113
10/16/05,1160
10/23/05,1216
10/30/05,1237
11/6/05,1280
11/13/05,1272
11/20/05,1277
11/27/05,1301
12/4/05,1325
12/11/05,1328
12/18/05,1318
12/25/05,1287
1/1/06,1273
1/8/06,1319
1/15/06,1339
1/22/06,1297
1/29/06,1331
2/5/06,1320
2/12/06,1311
2/19/06,1288
2/26/06,1288
3/5/06,1275
3/12/06,1257
3/19/06,1241
3/26/06,1217
4/2/06,1165
4/9/06,1133
4/16/06,1087
4/23/06,1045
4/30/06,1017
5/7/06,958
5/14/06,919
5/21/06,877
5/28/06,783
6/4/06,649
6/11/06,635
6/18/06,615
6/25/06,610
7/2/06,572
7/9/06,565
7/16/06,577
7/23/06,564
7/30/06,564
8/6/06,551
8/13/06,547
8/20/06,536
8/27/06,503
9/3/06,488
9/10/06,491
9/17/06,487
9/24/06,455
10/1/06,469
10/8/06,1323
10/15/06,1361
10/22/06,1425
10/29/06,1445
11/5/06,1473
11/12/06,1497
11/19/06,1474
11/26/06,1488
12/3/06,1486
12/10/06,1493
12/17/06,1492
12/24/06,1435
12/31/06,1359
1/7/07,1490
1/14/07,1467
1/21/07,1470
1/28/07,1495
2/4/07,1472
2/11/07,1484
2/18/07,1461
2/25/07,1460
3/4/07,1428
3/11/07,1408
3/18/07,1361
3/25/07,1333
4/1/07,1303
4/8/07,1284
4/15/07,1240
4/22/07,1206
4/29/07,1152
5/6/07,1119
5/13/07,1057
5/20/07,1025
5/27/07,925
6/3/07,831
6/10/07,796
6/17/07,771
6/24/07,749
7/1/07,742
7/8/07,711
7/15/07,697
7/22/07,698
7/29/07,691
8/5/07,677
8/12/07,667
8/19/07,666
8/26/07,671
9/2/07,652
9/9/07,641
9/16/07,638
9/23/07,632
9/30/07,703
10/7/07,1373
10/14/07,1429
10/21/07,1449
10/28/07,1477
11/4/07,1485
11/11/07,1539
11/18/07,1516
11/25/07,1523
12/2/07,1513
12/9/07,1487
12/16/07,1453
12/23/07,1420
12/30/07,1426
1/13/08,1486
1/20/08,1509
1/27/08,1511
2/3/08,1508
2/10/08,1514
2/17/08,1526
2/24/08,1518
3/2/08,1497
3/9/08,1453
3/16/08,1445
3/23/08,1412
3/30/08,1395
4/6/08,1379
4/13/08,1327
4/20/08,1318
4/27/08,1288
5/4/08,1208
5/11/08,1147
5/18/08,1098
5/25/08,1074
6/1/08,945
6/8/08,869
6/15/08,789
6/22/08,764
6/29/08,755
7/6/08,730
7/13/08,713
7/20/08,710
7/27/08,696
8/3/08,694
8/10/08,676
8/17/08,668
8/24/08,657
8/31/08,657
9/7/08,636
9/14/08,666
9/21/08,685
9/28/08,679
10/5/08,716
10/12/08,1435
10/19/08,1500
10/26/08,1525
11/2/08,1527
11/9/08,1545
11/16/08,1555
11/23/08,1555
11/30/08,1563
12/7/08,1523
12/14/08,1551
12/21/08,1543
12/28/08,1416
1/4/09,1484
1/11/09,1490
1/18/09,1512
1/25/09,1566
2/1/09,1554
2/8/09,1580
2/15/09,1569
2/22/09,1543
3/1/09,1544
3/8/09,1534
3/15/09,1524
3/22/09,1494
3/29/09,1470
4/5/09,1440
4/12/09,1422
4/19/09,1415
4/26/09,1445
5/3/09,1405
5/10/09,1422
5/17/09,1372
5/24/09,1331
5/31/09,1314
6/7/09,1305
6/14/09,1296
6/21/09,1280
6/28/09,1279
7/5/09,1237
7/12/09,1246
7/19/09,1248
7/26/09,1248
8/2/09,1254
8/9/09,1230
8/16/09,1234
8/23/09,1286
8/30/09,1320
9/6/09,1358
9/13/09,1367
9/20/09,1380
9/27/09,1313
10/4/09,1331
10/11/09,2056
10/18/09,2134
10/25/09,2162
11/1/09,2167
11/8/09,2197
11/15/09,2191
11/22/09,2157
11/29/09,2146
12/6/09,2122
12/13/09,2093
12/20/09,2014
12/27/09,1934
1/3/10,1937
1/10/10,1996
1/17/10,2016
1/24/10,2053
1/31/10,2026
2/7/10,1996
2/14/10,1977
2/21/10,1954
2/28/10,1990
3/7/10,1953
3/14/10,1946
3/21/10,1933
3/28/10,1917
4/4/10,1875
4/11/10,1850
4/18/10,1831
4/25/10,1765
5/2/10,1755
5/9/10,1710
5/16/10,1664
5/23/10,1624
5/30/10,1497
6/6/10,1421
6/13/10,1435
6/20/10,1405
6/27/10,1384
7/4/10,1347
7/11/10,1353
7/18/10,1284
7/25/10,1265
8/1/10,1250
8/8/10,1241
8/15/10,1212
8/22/10,1225
8/29/10,1235
9/5/10,1170
9/12/10,1198
9/19/10,1210
9/26/10,1206
10/3/10,1254
10/10/10,1838
10/17/10,1875
10/24/10,1907
10/31/10,1929
11/7/10,1947
11/14/10,1940
11/21/10,1921
11/28/10,1938
12/5/10,1964
12/12/10,1936
12/19/10,1916
12/26/10,1840
1/2/11,1887
1/9/11,1923
1/16/11,1921
1/23/11,1964
1/30/11,1947
2/6/11,1970
2/13/11,1961
2/20/11,1910
2/27/11,1908
3/6/11,1860
3/13/11,1829
3/20/11,1823
3/27/11,1790
4/3/11,1770
4/10/11,1723
4/17/11,1681
4/24/11,1651
5/1/11,1612
5/8/11,1585
5/15/11,1556
5/22/11,1516
5/29/11,1381
6/5/11,1357
6/12/11,1296
6/19/11,1279
6/26/11,1251
7/3/11,1225
7/10/11,1211
7/17/11,1220
7/24/11,1203
7/31/11,1179
8/7/11,1175
8/14/11,1175
8/21/11,1191
8/28/11,1195
9/4/11,1200
9/11/11,1184
9/18/11,1196
9/25/11,1201
10/2/11,1213
10/9/11,1850
10/16/11,1883
10/23/11,1905
10/30/11,1900
11/6/11,1925
11/13/11,1946
11/20/11,1900
11/27/11,1918
12/4/11,1904
12/11/11,1898
12/18/11,1872
12/25/11,1851
1/1/12,1821
1/8/12,1891
1/15/12,1883
1/22/12,1887
1/29/12,1891
2/5/12,1885
2/12/12,1875
2/19/12,1884
2/26/12,1853
3/4/12,1826
3/11/12,1816
3/18/12,1819
3/25/12,1780
4/1/12,1753
4/8/12,1729
4/15/12,1707
4/22/12,1699
4/29/12,1675
5/6/12,1564
5/13/12,1546
5/20/12,1503
5/27/12,1415
6/3/12,1409
6/10/12,1365
6/17/12,1289
6/24/12,1295
7/1/12,1260
7/8/12,1271
7/15/12,1240
7/22/12,1223
7/29/12,1250
8/5/12,1240
8/12/12,1248
8/19/12,1238
8/26/12,1238
9/2/12,1238
9/9/12,1242
9/16/12,1252
9/23/12,1268
9/30/12,1248
10/7/12,1932
10/14/12,1940
10/21/12,1968
10/28/12,1958
11/4/12,1929
11/11/12,1974
11/18/12,1966
11/25/12,1968
12/2/12,2006
12/9/12,2006
12/16/12,1977
12/23/12,1908
12/30/12,1905
1/13/13,1982
1/20/13,1995
1/27/13,2008
2/3/13,1978
2/10/13,1963
2/17/13,1931
2/24/13,1926
3/3/13,1940
3/10/13,1893
3/17/13,1884
3/24/13,1846
3/31/13,1825
4/7/13,1811
4/14/13,1769
4/21/13,1742
4/28/13,1732
5/5/13,1711
5/12/13,1675
5/19/13,1630
5/26/13,1582
6/2/13,1489
6/9/13,1486
6/16/13,1421
6/23/13,1419
6/30/13,1405
7/7/13,1389
7/14/13,1357
7/21/13,1362
7/28/13,1341
8/4/13,1325
8/11/13,1290
8/18/13,1299
8/25/13,1276
9/1/13,1265
9/8/13,1260
9/15/13,1317
9/22/13,1307
9/29/13,1290
10/6/13,1364
10/13/13,1960
10/20/13,1990
10/27/13,2018
11/3/13,2027
11/10/13,2028
11/17/13,2017
11/24/13,2054
12/1/13,2012
12/8/13,2042
12/15/13,2055
12/22/13,2054
12/29/13,2009
1/5/14,2007
1/12/14,2033
1/19/14,2059
1/26/14,2049
2/2/14,2062
2/9/14,2051
2/16/14,2051
2/23/14,2018
3/2/14,2025
3/9/14,1978
3/16/14,1944
3/23/14,1904
3/30/14,1922
4/6/14,1887
4/13/14,1866
4/20/14,1845
4/27/14,1810
5/4/14,1771
5/11/14,1746
5/18/14,1714
5/25/14,1660
6/1/14,1570
6/8/14,1554
6/15/14,1461
6/22/14,1461
6/29/14,1392
7/6/14,1411
7/13/14,1388
7/20/14,1394
7/27/14,1376
8/3/14,1372
8/10/14,1378
8/17/14,1382
8/24/14,1369
8/31/14,1371
9/7/14,1353
9/14/14,1352
9/21/14,1401
9/28/14,1405
10/5/14,1407
10/12/14,1937
10/19/14,1960
10/26/14,2000
11/2/14,2008
11/9/14,2053
11/16/14,2058
11/23/14,1997
11/30/14,2058
12/7/14,2067
12/14/14,2097
12/21/14,2069
12/28/14,2016
1/4/15,1984
1/11/15,1983
1/18/15,1971
1/25/15,1966
2/1/15,1955
2/8/15,1950
2/15/15,1917
2/22/15,1907
3/1/15,1934
3/8/15,1912
3/15/15,1907
3/22/15,1883
3/29/15,1848
4/5/15,1819
4/12/15,1820
4/19/15,1813
4/26/15,1768
5/3/15,1753
5/10/15,1735
5/17/15,1688
5/24/15,1622
5/31/15,1579
6/7/15,1505
6/14/15,1455
6/21/15,1459
6/28/15,1445
7/5/15,1417
7/12/15,1428
7/19/15,1411
7/26/15,1401
8/2/15,1352
8/9/15,1364
8/16/15,1340
8/23/15,1356
8/30/15,1362
9/6/15,1354
9/13/15,1349
9/20/15,1369
9/27/15,1367
10/4/15,1332
10/11/15,1963
10/18/15,1976
10/25/15,1995
11/1/15,1999
11/8/15,2048
11/15/15,2028
11/22/15,2023
11/29/15,2000
12/6/15,2040
12/13/15,2020
12/20/15,2000
12/27/15,1978
1/3/16,1949
1/10/16,2004
1/17/16,2005
1/24/16,2008
1/31/16,2026
2/7/16,2007
2/14/16,2000
2/21/16,1993
2/28/16,1956
3/6/16,1952
3/13/16,1922
3/20/16,1898
3/27/16,1900
4/3/16,1832
4/10/16,1813
4/17/16,1805
4/24/16,1774
5/1/16,1759
5/8/16,1742
5/15/16,1690
5/22/16,1626
5/29/16,1439
6/5/16,1482
6/12/16,1446
6/19/16,1440
6/26/16,1402
7/3/16,1382
7/10/16,1379
7/17/16,1392
7/24/16,1388
7/31/16,1393
8/7/16,1360
8/14/16,1329
8/21/16,1345
8/28/16,1356
9/4/16,1354
9/11/16,1347
9/18/16,1365
9/25/16,1363
10/2/16,1389
10/9/16,1946
10/16/16,1973
10/23/16,1983
10/30/16,2006
11/6/16,1999
11/13/16,1990
11/20/16,2000
11/27/16,2011
12/4/16,2001
12/11/16,2013
12/18/16,2000
12/25/16,1977
1/1/17,1928
1/8/17,2024
1/15/17,1997
1/22/17,2029
1/29/17,2021
2/5/17,2024
2/12/17,2027
2/19/17,1967
2/26/17,1987
3/5/17,1995
3/12/17,1971
3/19/17,1958
3/26/17,1940
4/2/17,1899
4/9/17,1906
4/16/17,1861
4/23/17,1845
4/30/17,1846
5/7/17,1795
5/14/17,1767
5/21/17,1746
5/28/17,1614
6/4/17,1569
6/11/17,1493
6/18/17,1470
6/25/17,1469
7/2/17,1422
7/9/17,1456
7/16/17,1405
7/23/17,1384
7/30/17,1377
8/6/17,1390
8/13/17,1386
8/20/17,1350
8/27/17,1379
9/3/17,1370
9/10/17,1384
9/17/17,1485
9/24/17,1484
10/1/17,1468
10/8/17,4440
10/15/17,4490
10/22/17,4532
10/29/17,4532
11/5/17,4444
11/12/17,4576
11/19/17,4592
11/26/17,4542
12/3/17,4558
12/10/17,4544
12/17/17,4524
12/24/17,4422
12/31/17,4264
1/7/18,4486
1/14/18,4514
1/21/18,4572
1/28/18,4576
2/4/18,4550
2/11/18,4598
2/18/18,4454
2/25/18,4544
3/4/18,4416
3/11/18,4428
3/18/18,4402
3/25/18,4360
4/1/18,4288
4/8/18,4254
4/15/18,4172
4/22/18,4224
4/29/18,4176
5/6/18,4036
5/13/18,3866
5/20/18,3954
5/27/18,3792
6/3/18,3604
6/10/18,3596
6/17/18,3506
6/24/18,3546
7/1/18,3472
7/8/18,3560
7/15/18,3570
7/22/18,3496
7/29/18,3482
8/5/18,3448
8/12/18,3380
8/19/18,3450
8/26/18,3220
9/2/18,3362
9/9/18,3420
9/16/18,3416
9/23/18,3368
9/30/18,3420
10/7/18,2611
10/14/18,2651
10/21/18,2623
10/28/18,2678
11/4/18,2666
11/11/18,2672
11/18/18,2665
11/25/18,2618
12/2/18,2666
12/9/18,2658
12/16/18,2650
12/23/18,2596
12/30/18,2581
1/13/19,2630
1/20/19,2656
1/27/19,2658
2/3/19,2677
2/10/19,2668
2/17/19,2673
2/24/19,2655
3/3/19,2655
3/10/19,2658
3/17/19,2637
3/24/19,2646
3/31/19,2653
4/7/19,2619
4/14/19,2620
4/21/19,2568
4/28/19,2542
5/5/19,2516
5/12/19,2485
5/19/19,2444
5/26/19,2336
6/2/19,2224
6/9/19,2196
6/16/19,2258
6/23/19,2206
6/30/19,2159
7/7/19,2084
7/14/19,2154
7/21/19,2111
7/28/19,2154
8/4/19,2140
8/11/19,2151
8/18/19,2167
8/25/19,2200
9/1/19,2170
9/8/19,2193
9/15/19,2217
9/22/19,2247
9/29/19,2224
10/6/19,2211
10/13/19,2912
10/20/19,2942
10/27/19,2966
11/3/19,2997
11/10/19,3005
11/17/19,3022
11/24/19,2991
12/1/19,2987
12/8/19,2993
12/15/19,2995
12/22/19,2958
12/29/19,2926
1/5/20,2917
1/12/20,2970
1/19/20,3002
1/26/20,2995
2/2/20,2997
2/9/20,2995
2/16/20,3005
2/23/20,2969
3/1/20,2984
3/8/20,2947
3/15/20,2913
3/22/20,2847
3/29/20,2810
4/5/20,2738
4/12/20,2696
4/19/20,2698
4/26/20,2679
5/3/20,2663
5/10/20,2635
5/17/20,2625
5/24/20,2613
5/31/20,2982
6/7/20,2961
6/14/20,2943
6/21/20,2915
6/28/20,2949
7/5/20,2907
7/12/20,2908
7/19/20,2931
7/26/20,2905
8/2/20,2964
8/9/20,3005
8/16/20,2967
8/23/20,2989
8/30/20,2942
9/6/20,2979
9/13/20,2935
9/20/20,2928
9/27/20,2954
10/4/20,2954
10/11/20,3332
10/18/20,3373
10/25/20,3351
11/1/20,3377
11/8/20,3471
11/15/20,3470
11/22/20,3436
11/29/20,3376
12/6/20,3378
12/13/20,3382
12/20/20,3400
12/27/20,3340
1/3/21,3343
1/10/21,3322
1/17/21,3332
1/24/21,3356
1/31/21,3367
2/7/21,3337
2/14/21,3288
2/21/21,3297
2/28/21,3318
3/7/21,3319
3/14/21,3325
3/21/21,3268
3/28/21,3242
4/4/21,3301
4/11/21,3323
4/18/21,3324
4/25/21,3290
5/2/21,3303
5/9/21,3272
5/16/21,3255
5/23/21,3233
5/30/21,3184
6/6/21,3182
6/13/21,3148
6/20/21,3107
6/27/21,3093
7/4/21,3092
7/11/21,3094
7/18/21,3103
7/25/21,3102
8/1/21,3088
8/8/21,3085
8/15/21,3079
8/22/21,3071
8/29/21,3066
9/5/21,3067
9/12/21,3057
9/19/21,3095
9/26/21,3076
10/3/21,2919
10/10/21,3587
10/17/21,3580
10/24/21,3538
10/31/21,3572
11/7/21,3578
11/14/21,3601
11/21/21,3591
11/28/21,3584
12/5/21,3608
12/12/21,3613
12/19/21,3584
12/26/21,3564
1/2/22,3532
1/9/22,3561
1/16/22,3568
1/23/22,3573
1/30/22,3554
2/6/22,3488
2/13/22,3548
2/20/22,3545
2/27/22,3546
3/6/22,3541
3/13/22,3563
3/20/22,3535
3/27/22,3531
4/3/22,3518
4/10/22,3526
4/17/22,3518
4/24/22,3530
5/1/22,3520
5/8/22,3442
5/15/22,3465
5/22/22,3449
5/29/22,3409
6/5/22,3381
6/12/22,3373
6/19/22,3335
6/26/22,3387
7/3/22,3267
7/10/22,3379
7/17/22,3346
7/24/22,3348
7/31/22,3323
8/7/22,3346
8/14/22,3285
8/21/22,3329
8/28/22,3318
9/4/22,3299
9/11/22,3324
9/18/22,3316
9/25/22,3329
10/2/22,3335
10/9/22,3356