Month,ice cream
2004-01,13
2004-02,15
2004-03,16
2004-04,19
2004-05,21
2004-06,24
2004-07,27
2004-08,20
2004-09,18
2004-10,15
2004-11,15
2004-12,14
2005-01,15
2005-02,15
2005-03,17
2005-04,19
2005-05,22
2005-06,28
2005-07,29
2005-08,21
2005-09,16
2005-10,14
2005-11,14
2005-12,14
2006-01,14
2006-02,15
2006-03,16
2006-04,19
2006-05,23
2006-06,27
2006-07,32
2006-08,24
2006-09,19
2006-10,16
2006-11,16
2006-12,17
2007-01,16
2007-02,17
2007-03,18
2007-04,20
2007-05,25
2007-06,30
2007-07,29
2007-08,23
2007-09,19
2007-10,15
2007-11,15
2007-12,16
2008-01,15
2008-02,17
2008-03,17
2008-04,20
2008-05,25
2008-06,28
2008-07,28
2008-08,23
2008-09,18
2008-10,15
2008-11,15
2008-12,14
2009-01,15
2009-02,17
2009-03,18
2009-04,22
2009-05,27
2009-06,32
2009-07,34
2009-08,30
2009-09,24
2009-10,19
2009-11,20
2009-12,18
2010-01,18
2010-02,19
2010-03,21
2010-04,23
2010-05,28
2010-06,30
2010-07,34
2010-08,28
2010-09,22
2010-10,18
2010-11,17
2010-12,16
2011-01,24
2011-02,24
2011-03,25
2011-04,45
2011-05,34
2011-06,41
2011-07,46
2011-08,35
2011-09,30
2011-10,30
2011-11,27
2011-12,29
2012-01,30
2012-02,30
2012-03,35
2012-04,39
2012-05,46
2012-06,53
2012-07,55
2012-08,41
2012-09,31
2012-10,24
2012-11,23
2012-12,23
2013-01,24
2013-02,25
2013-03,27
2013-04,31
2013-05,37
2013-06,44
2013-07,48
2013-08,37
2013-09,28
2013-10,22
2013-11,21
2013-12,21
2014-01,24
2014-02,24
2014-03,28
2014-04,32
2014-05,39
2014-06,45
2014-07,51
2014-08,40
2014-09,28
2014-10,23
2014-11,21
2014-12,22
2015-01,24
2015-02,26
2015-03,33
2015-04,40
2015-05,46
2015-06,49
2015-07,57
2015-08,45
2015-09,35
2015-10,27
2015-11,26
2015-12,25
2016-01,30
2016-02,32
2016-03,38
2016-04,45
2016-05,51
2016-06,61
2016-07,71
2016-08,52
2016-09,42
2016-10,39
2016-11,46
2016-12,66
2017-01,35
2017-02,39
2017-03,44
2017-04,55
2017-05,60
2017-06,74
2017-07,89
2017-08,64
2017-09,48
2017-10,40
2017-11,36
2017-12,35
2018-01,40
2018-02,42
2018-03,51
2018-04,56
2018-05,71
2018-06,79
2018-07,91
2018-08,66
2018-09,49
2018-10,39
2018-11,34
2018-12,36
2019-01,39
2019-02,42
2019-03,53
2019-04,57
2019-05,65
2019-06,82
2019-07,100
2019-08,68
2019-09,51
2019-10,40
2019-11,36
2019-12,36
2020-01,43
2020-02,45
2020-03,44
2020-04,53
2020-05,70
2020-06,74