Date,Daily minimum temperatures
1/1/81,20.7
1/2/81,17.9
1/3/81,18.8
1/4/81,14.6
1/5/81,15.8
1/6/81,15.8
1/7/81,15.8
1/8/81,17.4
1/9/81,21.8
1/10/81,20
1/11/81,16.2
1/12/81,13.3
1/13/81,16.7
1/14/81,21.5
1/15/81,25
1/16/81,20.7
1/17/81,20.6
1/18/81,24.8
1/19/81,17.7
1/20/81,15.5
1/21/81,18.2
1/22/81,12.1
1/23/81,14.4
1/24/81,16
1/25/81,16.5
1/26/81,18.7
1/27/81,19.4
1/28/81,17.2
1/29/81,15.5
1/30/81,15.1
1/31/81,15.4
2/1/81,15.3
2/2/81,18.8
2/3/81,21.9
2/4/81,19.9
2/5/81,16.6
2/6/81,16.8
2/7/81,14.6
2/8/81,17.1
2/9/81,25
2/10/81,15
2/11/81,13.7
2/12/81,13.9
2/13/81,18.3
2/14/81,22
2/15/81,22.1
2/16/81,21.2
2/17/81,18.4
2/18/81,16.6
2/19/81,16.1
2/20/81,15.7
2/21/81,16.6
2/22/81,16.5
2/23/81,14.4
2/24/81,14.4
2/25/81,18.5
2/26/81,16.9
2/27/81,17.5
2/28/81,21.2
3/1/81,17.8
3/2/81,18.6
3/3/81,17
3/4/81,16
3/5/81,13.3
3/6/81,14.3
3/7/81,11.4
3/8/81,16.3
3/9/81,16.1
3/10/81,11.8
3/11/81,12.2
3/12/81,14.7
3/13/81,11.8
3/14/81,11.3
3/15/81,10.6
3/16/81,11.7
3/17/81,14.2
3/18/81,11.2
3/19/81,16.9
3/20/81,16.7
3/21/81,8.1
3/22/81,8
3/23/81,8.8
3/24/81,13.4
3/25/81,10.9
3/26/81,13.4
3/27/81,11
3/28/81,15
3/29/81,15.7
3/30/81,14.5
3/31/81,15.8
4/1/81,16.7
4/2/81,16.8
4/3/81,17.5
4/4/81,17.1
4/5/81,18.1
4/6/81,16.6
4/7/81,10
4/8/81,14.9
4/9/81,15.9
4/10/81,13
4/11/81,7.6
4/12/81,11.5
4/13/81,13.5
4/14/81,13
4/15/81,13.3
4/16/81,12.1
4/17/81,12.4
4/18/81,13.2
4/19/81,13.8
4/20/81,10.6
4/21/81,9
4/22/81,10
4/23/81,9.8
4/24/81,11.5
4/25/81,8.9
4/26/81,7.4
4/27/81,9.9
4/28/81,9.3
4/29/81,9.9
4/30/81,7.4
5/1/81,8.6
5/2/81,11.9
5/3/81,14
5/4/81,8.6
5/5/81,10
5/6/81,13.5
5/7/81,12
5/8/81,10.5
5/9/81,10.7
5/10/81,8.1
5/11/81,10.1
5/12/81,10.6
5/13/81,5.3
5/14/81,6.6
5/15/81,8.5
5/16/81,11.2
5/17/81,9.8
5/18/81,5.9
5/19/81,3.2
5/20/81,2.1
5/21/81,3.4
5/22/81,5.4
5/23/81,9.6
5/24/81,11.5
5/25/81,12.3
5/26/81,12.6
5/27/81,11
5/28/81,11.2
5/29/81,11.4
5/30/81,11.8
5/31/81,12.8
6/1/81,11.6
6/2/81,10.6
6/3/81,9.8
6/4/81,11.2
6/5/81,5.7
6/6/81,7.1
6/7/81,2.5
6/8/81,3.5
6/9/81,4.6
6/10/81,11
6/11/81,5.7
6/12/81,7.7
6/13/81,10.4
6/14/81,11.4
6/15/81,9.2
6/16/81,6.1
6/17/81,2.7
6/18/81,4.3
6/19/81,6.3
6/20/81,3.8
6/21/81,4.4
6/22/81,7.1
6/23/81,4.8
6/24/81,5.8
6/25/81,6.2
6/26/81,7.3
6/27/81,9.2
6/28/81,10.2
6/29/81,9.5
6/30/81,9.5
7/1/81,10.7
7/2/81,10
7/3/81,6.5
7/4/81,7
7/5/81,7.4
7/6/81,8.1
7/7/81,6.6
7/8/81,8.3
7/9/81,8.9
7/10/81,4.6
7/11/81,6.8
7/12/81,5.7
7/13/81,6.1
7/14/81,7
7/15/81,7.2
7/16/81,6.3
7/17/81,8.8
7/18/81,5
7/19/81,7.4
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,